ID,PRDS1,PRDS2,PRDS3,PRDS4,PRDS5,DASS1,DASS2,DASS3,DASS4,DASS5,DASS6,DASS7,DASS8,DASS9,DASS10,DASS11,DASS12,DASS13,DASS14,DASS15,DASS16,DASS17,DASS18,DASS19,DASS20,DASS21,SCS1_PC,SCS2_PC,SCS3_PM,SCS4_PC,SCS5_PM,SCS6_PM,SCS7_PC,SCS8_PM,SCS9_PC,SCS10_PC,SCS11_PC,SCS12_PC,BPAQ1,BPAQ2,BPAQ3,BPAQ4,BPAQ5,BPAQ6,BPAQ7,BPAQ8,BPAQ9,BPAQ10,BPAQ11,BPAQ12,Income,Gender,Age,PC,PM,DASS,PRDS,BPAQ
56,1,2,2,2,1,1,1,1,1,1,2,1,2,2,1,2,2,1,1,1,1,1,2,1,1,1,5,2,5,3,6,6,5,6,2,2,2,5,1,1,2,3,4,2,4,2,2,1,2,4,9,2,30,3.25,5.75,1.285714286,1.6,2.333333333
57,2,3,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,3,5,4,6,6,3,6,5,5,5,3,1,1,1,2,2,1,1,1,1,2,4,1,12,1,31,3.75,5.75,1.095238095,2,1.5
58,2,2,4,2,2,2,4,2,2,1,2,2,2,2,2,3,3,3,2,2,2,2,3,2,2,1,3,5,6,5,7,7,5,5,3,3,5,3,2,2,2,4,2,4,3,2,2,1,2,4,9,2,24,4,6.25,2.19047619,2.4,2.5
59,2,3,2,3,2,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,6,5,6,1,6,7,5,6,3,5,6,5,1,1,1,2,2,1,4,2,2,4,4,1,5,1,46,4.5,6.25,1.142857143,2.4,2.083333333
60,1,2,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,7,6,1,6,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,17,2,33,1,6.25,1.095238095,1.4,1.25
61,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,6,2,6,6,2,6,2,2,5,2,1,1,1,1,1,1,1,1,1,1,1,1,10,2,51,2.375,6,1,1.4,1
62,3,4,4,4,4,2,2,2,1,3,1,1,1,2,2,2,2,2,3,1,2,2,2,2,2,2,5,5,3,3,6,5,4,2,5,5,4,4,2,1,2,4,2,3,3,3,2,2,4,2,8,2,43,4.375,4,1.857142857,3.8,2.5
63,1,3,1,5,1,2,1,1,1,1,2,2,1,3,1,1,1,3,1,1,1,2,2,1,1,2,1,2,6,4,6,6,4,4,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,3,8,2,38,2.25,5.5,1.476190476,2.2,1.166666667
64,2,2,2,2,1,1,1,2,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,5,2,4,3,6,5,5,5,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,15,2,59,3.25,5,1.19047619,1.8,1
65,1,3,2,3,2,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,3,1,2,5,6,5,7,3,6,2,5,5,1,1,1,4,1,1,5,1,1,4,4,2,4,1,45,4.25,4,1.142857143,2.2,2.166666667
66,5,2,6,5,4,2,1,1,1,2,2,3,3,3,1,2,2,1,1,1,1,1,1,1,1,1,2,3,7,5,7,7,6,5,6,2,5,2,1,1,1,2,1,1,2,1,1,4,4,4,6,2,26,3.875,6.5,1.523809524,4.4,1.916666667
67,3,3,3,3,3,2,2,1,1,3,2,1,1,1,1,2,2,2,1,1,1,1,2,1,2,1,3,3,2,2,6,5,5,5,2,4,3,3,1,1,1,3,1,1,1,1,1,2,2,2,7,2,35,3.125,4.5,1.476190476,3,1.416666667
68,2,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,1,5,7,3,3,6,4,3,6,6,7,4,5,1,1,1,1,1,1,1,1,1,1,1,1,13,2,26,5,4.75,3.761904762,4,1
69,4,5,4,4,4,3,2,3,3,2,3,2,3,3,3,2,3,4,2,2,3,3,3,3,2,3,6,6,3,2,6,5,6,6,3,6,6,3,1,1,1,4,4,4,5,4,4,5,4,4,3,1,52,4.75,5,2.714285714,4.2,3.416666667
70,2,3,2,3,2,4,3,3,1,3,4,2,3,4,3,4,4,3,1,2,4,4,4,1,3,3,5,6,2,3,5,5,5,5,3,5,7,3,1,1,1,2,1,1,1,2,2,2,1,4,19,2,59,4.625,4.25,3,2.4,1.583333333
71,4,5,5,5,5,2,1,3,1,2,1,1,2,1,2,1,2,2,1,1,3,2,1,2,1,3,3,3,5,2,6,6,6,5,4,3,4,3,2,2,1,3,2,2,2,1,1,4,3,4,9,1,53,3.5,5.5,1.666666667,4.8,2.25
72,4,5,4,5,4,3,4,2,2,3,2,1,4,3,3,2,4,3,2,2,3,3,3,2,2,3,3,3,3,4,5,3,6,4,4,5,5,5,1,1,2,2,2,2,3,4,4,3,3,4,7,2,29,4.375,3.75,2.666666667,4.4,2.583333333
73,6,6,5,1,6,4,2,3,1,3,3,1,3,3,3,3,4,3,2,3,3,4,2,2,1,3,5,5,4,3,6,5,6,5,3,6,6,5,2,2,1,2,2,1,1,2,2,3,3,4,5,1,41,4.875,5,2.666666667,4.8,2.083333333
74,2,4,2,4,2,2,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,6,2,6,5,3,6,2,1,2,2,1,1,1,2,2,2,4,2,2,2,1,1,8,2,47,1.875,5.75,1.238095238,2.8,1.75
75,1,2,1,2,1,3,1,1,1,2,3,1,3,2,2,3,4,2,1,1,1,1,3,2,2,2,3,3,6,2,6,6,3,6,2,1,2,2,1,1,1,1,2,1,2,1,1,1,1,1,18,2,40,2.25,6,1.952380952,1.4,1.166666667
76,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,3,2,6,1,5,7,5,5,4,5,1,3,1,1,1,2,3,3,1,1,1,1,1,4,15,2,56,3,5.75,1.19047619,1.2,1.666666667
77,3,5,2,3,4,2,2,1,1,3,2,1,3,3,1,3,2,2,3,3,1,2,3,3,2,1,2,5,6,2,6,5,5,6,2,2,2,2,1,1,1,4,2,2,2,2,2,2,2,3,7,2,44,2.75,5.75,2.095238095,3.4,2
78,1,2,3,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,1,5,1,6,3,6,6,3,7,2,3,1,2,2,4,2,3,2,3,2,2,1,1,3,1,16,2,59,2.5,6.25,1.761904762,2,2.166666667
79,2,3,2,3,2,2,2,3,2,3,2,1,2,3,2,2,2,3,1,2,3,3,2,2,2,2,2,5,6,2,6,5,5,6,2,2,5,2,1,1,1,1,1,1,1,1,1,1,2,2,8,2,34,3.125,5.75,2.19047619,2.4,1.166666667
80,2,3,3,4,4,1,1,1,1,1,3,1,2,1,1,3,2,3,1,1,2,1,1,1,1,1,1,1,7,1,7,7,5,7,1,1,1,1,1,1,1,4,2,1,4,1,1,3,1,3,4,2,37,1.5,7,1.428571429,3.2,1.916666667
81,4,3,6,3,5,1,2,4,1,3,2,1,1,1,4,2,1,2,1,1,4,3,2,1,1,4,5,6,2,5,5,5,5,4,3,6,6,5,2,2,1,3,2,1,2,2,2,5,5,4,14,1,40,5.125,4,2,4.2,2.583333333
82,2,3,2,3,2,3,2,2,1,1,1,1,1,1,2,2,3,2,2,1,1,2,1,1,1,1,1,1,4,2,7,5,2,7,2,2,3,3,2,2,2,3,2,2,3,2,2,2,2,2,11,1,43,2,5.75,1.523809524,2.4,2.166666667
83,4,5,4,4,4,1,1,2,1,3,1,2,2,1,3,1,1,3,2,2,2,3,1,2,2,2,2,6,5,1,6,2,5,6,2,5,6,3,1,1,1,2,2,1,1,1,1,4,2,5,6,2,29,3.75,4.75,1.80952381,4.2,1.833333333
84,4,4,4,3,3,2,1,2,1,1,2,1,1,2,2,2,2,3,3,2,2,2,2,2,1,2,6,5,3,6,3,5,5,3,3,7,7,6,1,1,1,NA,1,1,2,2,1,2,4,4,4,2,68,5.625,3.5,1.80952381,3.6,1.818181818
85,1,2,2,5,1,3,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,5,1,6,7,5,5,2,3,1,2,1,1,1,2,1,1,1,1,1,1,1,1,9,2,27,2.125,5.75,1.238095238,2.2,1.083333333
86,3,3,6,5,3,3,1,3,1,2,2,1,3,3,2,3,3,4,2,3,3,1,3,1,1,2,2,2,6,3,6,6,5,5,2,2,6,2,1,1,1,4,2,2,2,2,2,3,2,2,7,2,31,3,5.75,2.238095238,4,2
87,2,3,3,3,3,3,3,2,1,2,3,2,3,3,2,3,3,2,3,2,3,2,3,2,2,2,4,5,5,3,5,5,3,5,2,4,3,2,2,2,2,2,2,2,3,2,2,4,2,2,13,2,44,3.25,5,2.428571429,2.8,2.25
88,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,5,2,5,4,3,6,5,2,2,2,1,2,2,2,2,2,1,1,1,1,1,1,14,1,34,2.875,5,1,2,1.416666667
89,2,3,1,2,1,2,2,1,1,2,2,1,1,1,1,2,2,1,2,1,1,1,2,1,1,1,2,5,5,1,7,6,5,5,3,3,2,3,1,1,1,1,1,1,2,2,1,2,3,3,7,2,30,3,5.75,1.380952381,1.8,1.583333333
90,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,2,29,1,4.5,1,1.4,1
91,4,5,3,5,4,3,2,3,1,3,2,1,2,3,3,3,3,4,3,1,3,4,2,1,2,3,6,6,3,4,5,2,5,5,5,4,5,4,1,1,1,2,2,1,2,1,2,3,4,3,4,1,42,4.875,3.75,2.476190476,4.2,1.916666667
92,4,4,5,4,4,3,2,2,3,4,4,1,3,4,3,3,3,3,4,3,2,2,3,3,2,2,3,5,5,5,4,5,5,4,4,5,4,5,2,3,4,4,4,2,2,2,2,3,3,2,11,1,38,4.5,4.5,2.80952381,4.2,2.75
93,3,4,2,5,2,2,2,2,1,2,1,1,1,1,1,1,2,2,2,1,2,1,2,1,1,1,4,2,6,1,7,7,5,6,3,3,3,3,3,1,1,3,3,2,1,1,2,3,2,1,1,2,48,3,6.5,1.428571429,3.2,1.916666667
94,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,7,1,7,7,2,7,1,1,1,1,1,2,1,4,2,2,4,3,1,1,1,1,17,2,46,1.125,7,1.19047619,1,1.916666667
95,2,2,2,2,2,3,3,3,2,3,3,1,1,2,1,2,4,3,3,1,2,2,3,1,2,1,4,2,6,2,6,6,2,6,2,2,2,2,4,4,4,4,4,4,2,4,3,2,2,2,11,1,35,2.25,6,2.19047619,2,3.25
96,1,2,4,2,1,4,4,1,1,3,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,1,2,1,6,2,7,6,1,6,2,2,1,1,1,1,1,2,1,1,3,3,1,1,1,1,17,2,51,1.5,6.25,1.523809524,2,1.416666667
